# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 107978372
#
# Overhead  Command          Shared Object       Symbol                                                                                                                                                                                                                                                                                                                                      
# ........  ...............  ..................  ............................................................................................................................................................................................................................................................................................................................................
#
    11.97%  ftdc             mongod              [.] longest_match
    11.28%  ftdc             libc-2.27.so        [.] __nss_group_lookup
     4.36%  ftdc             mongod              [.] __wt_stat_connection_aggregate
     3.97%  mongod           [kernel.kallsyms]   [k] __schedule
     3.90%  mongod           [kernel.kallsyms]   [k] entry_SYSCALL_64
     3.87%  ftdc             mongod              [.] mongo::FTDCCompressor::getCompressedSamples
     3.82%  ftdc             mongod              [.] compress_block
     3.25%  ftdc             mongod              [.] mongo::FTDCBSONUtil::(anonymous namespace)::extractMetricsFromDocument
     3.09%  ftdc             [kernel.kallsyms]   [k] snmp_fold_field
     2.58%  ftdc             mongod              [.] mongo::FTDCCompressor::addSample
     2.31%  mongod           mongod              [.] __log_file_server
     2.15%  ftdc             mongod              [.] deflate_slow
     2.08%  ftdc             [kernel.kallsyms]   [k] diskstats_show
     1.84%  ftdc             mongod              [.] std::__find_if<char const*, __gnu_cxx::__ops::_Iter_pred<mongo::procparser::parseProcNetstat(std::vector<mongo::StringData, std::allocator<mongo::StringData> > const&, mongo::StringData, mongo::BSONObjBuilder*)::{lambda(char)#2}> >
     1.57%  ftdc             mongod              [.] __curstat_close
     1.49%  ftdc             [kernel.kallsyms]   [k] tcp_ack_update_rtt.isra.0
     1.40%  ftdc             mongod              [.] mongo::repl::ElectionMetrics::serialize
     1.38%  ftdc             mongod              [.] mongo::procparser::parseProcStat
     1.37%  ftdc             mongod              [.] mongo::BSONElement::computeSize
     1.31%  ftdc             mongod              [.] mongo::procparser::parseProcNetstat
     1.28%  ftdc             [kernel.kallsyms]   [k] eth_type_trans
     1.26%  ftdc             [kernel.kallsyms]   [k] snmp_seq_show_tcp_udp.isra.0
