[0, 0, 20] 2.343     0.990625         9694       106.67
[0, 1, 19] 2.335     0.990625         9712       106.67
[0, 2, 18] 2.319     0.990625         9707       106.67
[0, 3, 17] 2.385     0.990625         9674       106.67
[0, 4, 16] 2.401     0.990625         9681       106.67
[0, 5, 15] 2.321     0.990625         9693       106.67
[0, 6, 14] 2.337     0.990625         9706       106.67
[0, 7, 13] 2.359     0.990625         9680       106.67
[0, 8, 12] 2.409     0.990625         9680       106.67
[0, 9, 11] 2.339     0.990625         9696       106.67
[0, 10, 10] 2.387     0.990625         9698       106.67
[0, 11, 9] 2.341     0.990625         9678       106.67
[0, 12, 8] 2.359     0.990625         9677       106.67
[0, 13, 7] 2.355     0.990625         9698       106.67
[0, 14, 6] 2.389     0.990625         9693       106.67
[0, 15, 5] 2.391     0.990625         9665       106.67
[0, 16, 4] 2.357     0.990625         9643       106.67
[0, 17, 3] 2.409     0.990625         9713       106.67
[0, 18, 2] 2.365     0.990625         9713       106.67
[0, 19, 1] 2.371     0.990625         9714       106.67
[1, 0, 19] 2.411     0.990625         9705       106.67
[1, 1, 18] 2.349     0.990625         9666       106.67
[1, 2, 17] 2.347     0.990625         9710       106.67
[1, 3, 16] 2.397     0.990625         9699       106.67
[1, 4, 15] 2.435     0.990625         9693       106.67
[1, 5, 14] 2.379     0.990625         9719       106.67
[1, 6, 13] 2.363     0.990625         9696       106.67
[1, 7, 12] 2.345     0.990625         9713       106.67
[1, 8, 11] 2.347     0.990625         9692       106.67
[1, 9, 10] 2.341     0.990625         9680       106.67
[1, 10, 9] 2.431     0.990625         9647       106.67
[1, 11, 8] 2.391     0.990625         9707       106.67
[1, 12, 7] 2.411     0.990625         9719       106.67
[1, 13, 6] 2.455     0.990625         9676       106.67
[1, 14, 5] 2.373     0.990625         9691       106.67
[1, 15, 4] 2.421     0.990625         9695       106.67
[1, 16, 3] 2.409     0.990625         9700       106.67
[1, 17, 2] 2.401     0.990625         9694       106.67
[1, 18, 1] 2.443     0.990625         9682       106.67
[2, 0, 18] 2.399     0.990625         9678       106.67
[2, 1, 17] 2.387     0.990625         9678       106.67
[2, 2, 16] 2.329     0.990625         9724       106.67
[2, 3, 15] 2.283     0.990625         9683       106.67
[2, 4, 14] 2.345     0.990625         9686       106.67
[2, 5, 13] 2.395     0.990625         9715       106.67
[2, 6, 12] 2.389     0.990625         9708       106.67
[2, 7, 11] 2.391     0.990625         9680       106.67
[2, 8, 10] 2.365     0.990625         9673       106.67
[2, 9, 9] 2.367     0.990625         9685       106.67
[2, 10, 8] 2.395     0.990625         9710       106.67
[2, 11, 7] 2.399     0.990625         9721       106.67
[2, 12, 6] 2.385     0.990625         9697       106.67
[2, 13, 5] 2.347     0.990625         9680       106.67
[2, 14, 4] 2.407     0.990625         9694       106.67
[2, 15, 3] 2.375     0.990625         9671       106.67
[2, 16, 2] 2.403     0.990625         9697       106.67
[2, 17, 1] 2.343     0.990625         9684       106.67
[3, 0, 17] 2.349     0.990625         9681       106.67
[3, 1, 16] 2.385     0.990625         9710       106.67
[3, 2, 15] 2.317     0.990625         9676       106.67
[3, 3, 14] 2.411     0.990625         9678       106.67
[3, 4, 13] 2.355     0.990625         9676       106.67
[3, 5, 12] 2.405     0.990625         9701       106.67
[3, 6, 11] 2.453     0.990625         9678       106.67
[3, 7, 10] 2.319     0.990625         9691       106.67
[3, 8, 9] 2.435     0.990625         9696       106.67
[3, 9, 8] 2.417     0.990625         9685       106.67
[3, 10, 7] 2.435     0.990625         9714       106.67
[3, 11, 6] 2.315     0.990625         9680       106.67
[3, 12, 5] 2.381     0.990625         9666       106.67
[3, 13, 4] 2.411     0.990625         9694       106.67
[3, 14, 3] 2.389     0.990625         9698       106.67
[3, 15, 2] 2.391     0.990625         9677       106.67
[3, 16, 1] 2.355     0.990625         9692       106.67
[4, 0, 16] 2.339     0.990625         9695       106.67
[4, 1, 15] 2.413     0.990625         9696       106.67
[4, 2, 14] 2.387     0.990625         9716       106.67
