# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 22K of event 'cycles'
# Event count (approx.): 53611014677
#
# Overhead  Command  Shared Object      Symbol                                                                                             
# ........  .......  .................  ...................................................................................................
#
     3.74%  rate     rate               [.] runtime.mallocgc
     2.38%  rate     rate               [.] runtime.step
     2.28%  rate     [kernel.kallsyms]  [k] do_syscall_64
     2.07%  rate     rate               [.] runtime.stealWork
     1.74%  rate     rate               [.] runtime.heapBitsSetType
     1.63%  rate     rate               [.] runtime.pcvalue
     1.62%  rate     [kernel.kallsyms]  [k] psi_task_change
     1.27%  rate     rate               [.] runtime.memmove
     1.18%  rate     [kernel.kallsyms]  [k] entry_SYSCALL_64
     1.05%  rate     rate               [.] runtime.gentraceback
     0.80%  rate     [kernel.kallsyms]  [k] update_load_avg
     0.78%  rate     rate               [.] encoding/json.(*Decoder).readValue
     0.77%  rate     rate               [.] runtime.findfunc
     0.76%  rate     [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.73%  rate     rate               [.] encoding/json.unquoteBytes
     0.68%  rate     [kernel.kallsyms]  [k] update_cfs_group
     0.66%  rate     rate               [.] runtime.adjustframe
     0.60%  rate     rate               [.] encoding/json.(*decodeState).rescanLiteral
     0.58%  rate     rate               [.] runtime.getStackMap
     0.58%  rate     rate               [.] runtime.selectgo
     0.55%  rate     [kernel.kallsyms]  [k] visit_groups_merge
     0.54%  rate     rate               [.] encoding/json.stateInString
     0.53%  rate     rate               [.] runtime.newobject
     0.50%  rate     [vdso]             [.] __vdso_clock_gettime
     0.49%  rate     [kernel.kallsyms]  [k] enqueue_entity
     0.48%  rate     rate               [.] runtime.findrunnable
     0.47%  rate     rate               [.] runtime.adjustpointers
     0.45%  rate     rate               [.] time.Time.AppendFormat
     0.44%  rate     rate               [.] runtime.memclrNoHeapPointers
     0.42%  rate     rate               [.] path/filepath.Clean
     0.42%  rate     rate               [.] memeqbody
     0.41%  rate     rate               [.] runtime.(*itabTableType).find
     0.40%  rate     rate               [.] runtime.checkTimers
     0.39%  rate     rate               [.] runtime.lock2
     0.38%  rate     [kernel.kallsyms]  [k] update_curr
     0.38%  rate     [kernel.kallsyms]  [k] __fget_light
