# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cycles'
# Event count (approx.): 28708875666
#
# Overhead  Command         Shared Object      Symbol                                                                                                                
# ........  ..............  .................  ......................................................................................................................
#
     2.82%  recommendation  [kernel.kallsyms]  [k] do_syscall_64
     2.78%  recommendation  recommendation     [.] runtime.step
     2.48%  recommendation  recommendation     [.] runtime.stealWork
     2.35%  recommendation  recommendation     [.] runtime.mallocgc
     1.93%  recommendation  [kernel.kallsyms]  [k] psi_task_change
     1.80%  recommendation  recommendation     [.] runtime.heapBitsSetType
     1.75%  recommendation  recommendation     [.] runtime.pcvalue
     1.31%  recommendation  recommendation     [.] runtime.mapiternext
     1.05%  recommendation  recommendation     [.] runtime.gentraceback
     1.03%  recommendation  recommendation     [.] runtime.memmove
     1.02%  recommendation  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.92%  recommendation  recommendation     [.] math.pow
     0.87%  recommendation  recommendation     [.] github.com/harlow/go-micro-services/services/recommendation.(*Server).GetRecommendations
     0.87%  recommendation  recommendation     [.] github.com/hailocab/go-geoindex.distance
     0.87%  recommendation  [kernel.kallsyms]  [k] update_load_avg
     0.85%  recommendation  recommendation     [.] math.sin
     0.81%  recommendation  [kernel.kallsyms]  [k] entry_SYSCALL_64
     0.80%  recommendation  [kernel.kallsyms]  [k] visit_groups_merge
     0.73%  recommendation  recommendation     [.] runtime.selectgo
     0.72%  recommendation  recommendation     [.] runtime.newobject
     0.71%  recommendation  recommendation     [.] math.cos
     0.69%  recommendation  [vdso]             [.] __vdso_clock_gettime
     0.64%  recommendation  recommendation     [.] runtime.findfunc
     0.63%  recommendation  recommendation     [.] runtime.findrunnable
     0.60%  recommendation  recommendation     [.] runtime.adjustframe
     0.59%  recommendation  recommendation     [.] runtime.getStackMap
     0.59%  recommendation  recommendation     [.] runtime.adjustpointers
     0.55%  recommendation  [kernel.kallsyms]  [k] update_curr
     0.52%  recommendation  [kernel.kallsyms]  [k] update_cfs_group
