# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles'
# Event count (approx.): 3162050750
#
# Overhead  Command      Shared Object          Symbol                                        
# ........  ...........  .....................  ..............................................
#
     4.80%  mc-worker    [kernel.kallsyms]      [k] ipt_do_table
     3.60%  mc-worker    [kernel.kallsyms]      [k] do_syscall_64
     2.11%  mc-worker    [kernel.kallsyms]      [k] entry_SYSCALL_64
     1.89%  mc-worker    libc.so.6              [.] __pthread_mutex_lock
     1.61%  mc-worker    [kernel.kallsyms]      [k] syscall_return_via_sysret
     1.43%  mc-worker    [kernel.kallsyms]      [k] __dev_queue_xmit
     1.39%  mc-worker    [kernel.kallsyms]      [k] copy_user_generic_unrolled
     1.35%  mc-worker    [kernel.kallsyms]      [k] tcp_sendmsg_locked
     1.34%  mc-worker    [kernel.kallsyms]      [k] ip_finish_output2
     1.24%  mc-worker    [kernel.kallsyms]      [k] fib_table_lookup
     1.17%  mc-worker    [kernel.kallsyms]      [k] __ip_finish_output
     1.11%  mc-worker    libc.so.6              [.] __nss_database_lookup
     1.06%  mc-worker    memcached              [.] assoc_find
     1.04%  mc-worker    [kernel.kallsyms]      [k] psi_task_change
     0.96%  mc-worker    [kernel.kallsyms]      [k] iptable_mangle_hook
     0.92%  mc-worker    libevent-2.1.so.7.0.1  [.] evmap_io_active_
     0.81%  mc-worker    [kernel.kallsyms]      [k] _raw_spin_lock
     0.80%  mc-worker    [kernel.kallsyms]      [k] __update_load_avg_cfs_rq
     0.77%  mc-worker    libevent-2.1.so.7.0.1  [.] event_base_loop
     0.76%  mc-worker    [kernel.kallsyms]      [k] tcp_recvmsg
     0.74%  mc-worker    memcached              [.] process_get_command.constprop.0
     0.73%  mc-worker    [kernel.kallsyms]      [k] __tcp_transmit_skb
     0.72%  mc-worker    memcached              [.] drive_machine
     0.69%  mc-worker    [kernel.kallsyms]      [k] ip_route_input_slow
     0.68%  mc-worker    libc.so.6              [.] __pthread_mutex_trylock
     0.67%  mc-worker    [kernel.kallsyms]      [k] exit_to_usermode_loop
     0.67%  mc-worker    [kernel.kallsyms]      [k] __cgroup_bpf_run_filter_skb
     0.66%  mc-worker    libevent-2.1.so.7.0.1  [.] event_reinit
     0.66%  mc-worker    [kernel.kallsyms]      [k] nf_conntrack_tcp_packet
     0.65%  mc-worker    [kernel.kallsyms]      [k] br_handle_frame_finish
     0.64%  mc-worker    [kernel.kallsyms]      [k] mlx5e_ipsec_feature_check
