# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 151K of event 'cycles'
# Event count (approx.): 212631010484
#
# Overhead  Command          Shared Object            Symbol                                                                                                                                                                                                                                                                                                                                                                                                                
# ........  ...............  .......................  ......................................................................................................................................................................................................................................................................................................................................................................................................................
#
     2.11%  swapper          [kernel.kallsyms]        [k] intel_idle
     1.52%  frontend         frontend                 [.] runtime.mallocgc
     1.16%  search           search                   [.] runtime.mallocgc
     0.78%  frontend         frontend                 [.] runtime.heapBitsSetType
     0.66%  frontend         frontend                 [.] runtime.scanobject
     0.66%  search           search                   [.] runtime.heapBitsSetType
     0.54%  containerd-shim  [kernel.kallsyms]        [k] do_syscall_64
     0.53%  frontend         frontend                 [.] runtime.step
     0.52%  search           search                   [.] runtime.step
     0.51%  search           search                   [.] runtime.scanobject
     0.48%  wrk              wrk                      [.] lj_str_new
     0.46%  frontend         frontend                 [.] runtime.nextFreeFast
     0.46%  dockerd          [kernel.kallsyms]        [k] do_syscall_64
     0.42%  docker-proxy     [kernel.kallsyms]        [k] do_syscall_64
     0.41%  search           search                   [.] runtime.nextFreeFast
     0.41%  swapper          [kernel.kallsyms]        [k] menu_select
     0.40%  frontend         [kernel.kallsyms]        [k] do_syscall_64
     0.37%  frontend         frontend                 [.] runtime.memmove
     0.36%  geo              geo                      [.] runtime.step
     0.35%  frontend         frontend                 [.] runtime.pcvalue
     0.35%  search           [kernel.kallsyms]        [k] do_syscall_64
     0.35%  search           search                   [.] runtime.pcvalue
     0.34%  wrk              [kernel.kallsyms]        [k] do_syscall_64
     0.33%  swapper          [kernel.kallsyms]        [k] __schedule
     0.33%  dockerd          dockerd                  [.] runtime.stealWork
     0.29%  search           search                   [.] runtime.memmove
     0.28%  frontend         frontend                 [.] runtime.memclrNoHeapPointers
     0.26%  dockerd          dockerd                  [.] github.com/docker/docker/daemon/logger/jsonfilelog/jsonlog.ffjsonWriteJSONBytesAsString
     0.25%  recommendation   recommendation           [.] runtime.step
     0.25%  frontend         frontend                 [.] runtime.findObject
     0.24%  wrk              wrk                      [.] http_parser_execute
     0.24%  wrk              libc-2.31.so             [.] __memset_avx2_erms
     0.23%  containerd-shim  [kernel.kallsyms]        [k] psi_task_change
     0.22%  search           search                   [.] runtime.findObject
     0.22%  swapper          [kernel.kallsyms]        [k] switch_mm_irqs_off
     0.22%  swapper          [kernel.kallsyms]        [k] set_next_entity
     0.22%  wrk              libc-2.31.so             [.] __printf_fp_l
     0.22%  wrk              wrk                      [.] lj_BC_TGETS
     0.22%  frontend         frontend                 [.] runtime.gentraceback
     0.22%  dockerd          [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.21%  containerd-shim  [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.21%  geo              geo                      [.] runtime.pcvalue
     0.21%  dockerd          [kernel.kallsyms]        [k] psi_task_change
     0.21%  frontend         frontend                 [.] aeshashbody
     0.20%  swapper          [kernel.kallsyms]        [k] do_idle
     0.20%  containerd-shim  [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.19%  search           search                   [.] runtime.gentraceback
     0.19%  frontend         frontend                 [.] encoding/json.(*Decoder).readValue
     0.19%  docker-proxy     [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.19%  frontend         frontend                 [.] runtime.mapiternext
     0.19%  wrk              wrk                      [.] aeProcessEvents
     0.19%  frontend         frontend                 [.] runtime.selectgo
     0.19%  search           search                   [.] runtime.memclrNoHeapPointers
     0.19%  swapper          [kernel.kallsyms]        [k] update_load_avg
     0.18%  frontend         frontend                 [.] runtime.mapaccess1_faststr
     0.18%  geo              [kernel.kallsyms]        [k] do_syscall_64
     0.18%  swapper          [kernel.kallsyms]        [k] __update_load_avg_cfs_rq
     0.18%  geo              geo                      [.] runtime.heapBitsSetType
     0.18%  docker-proxy     [kernel.kallsyms]        [k] psi_task_change
     0.18%  search           search                   [.] encoding/json.(*Decoder).readValue
     0.18%  search           search                   [.] runtime.selectgo
     0.17%  frontend         frontend                 [.] runtime.newobject
     0.17%  dockerd          [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.17%  frontend         [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.17%  geo              geo                      [.] runtime.mallocgc
     0.17%  wrk              [kernel.kallsyms]        [k] psi_task_change
     0.16%  search           search                   [.] time.Time.AppendFormat
     0.16%  dockerd          dockerd                  [.] runtime.memmove
     0.16%  dockerd          dockerd                  [.] time.Time.appendFormat
     0.16%  docker-proxy     docker-proxy             [.] runtime.stealWork
     0.16%  swapper          [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath
     0.15%  geo              geo                      [.] runtime.stealWork
     0.15%  frontend         frontend                 [.] fmt.(*pp).doPrintf
     0.15%  frontend         frontend                 [.] runtime.findfunc
     0.15%  search           search                   [.] runtime.newobject
     0.15%  frontend         frontend                 [.] runtime.mapassign_faststr
     0.15%  search           [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.15%  frontend         frontend                 [.] runtime.growslice
     0.15%  frontend         frontend                 [.] runtime.casgstatus
     0.14%  frontend         frontend                 [.] path/filepath.Clean
     0.14%  docker-proxy     [kernel.kallsyms]        [k] __fget_light
     0.14%  search           search                   [.] runtime.findfunc
     0.14%  recommendation   recommendation           [.] runtime.stealWork
     0.14%  frontend         frontend                 [.] net/url.unescape
     0.14%  search           search                   [.] path/filepath.Clean
     0.14%  wrk              [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.14%  recommendation   [kernel.kallsyms]        [k] do_syscall_64
     0.14%  search           search                   [.] fmt.(*pp).doPrintf
     0.13%  search           search                   [.] aeshashbody
     0.13%  frontend         frontend                 [.] runtime.greyobject
     0.13%  docker-proxy     [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.13%  frontend         frontend                 [.] time.Time.AppendFormat
     0.13%  wrk              libc-2.31.so             [.] __mpn_divrem
     0.13%  recommendation   recommendation           [.] runtime.pcvalue
     0.13%  frontend         [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.13%  geo              [kernel.kallsyms]        [k] psi_task_change
     0.12%  dockerd          dockerd                  [.] time.nextStdChunk
     0.12%  search           [kernel.kallsyms]        [k] psi_task_change
     0.12%  swapper          [kernel.kallsyms]        [k] psi_task_change
     0.12%  frontend         frontend                 [.] runtime.mapassign
     0.12%  swapper          [kernel.kallsyms]        [k] load_new_mm_cr3
     0.12%  search           search                   [.] time.nextStdChunk
     0.12%  recommendation   recommendation           [.] runtime.mallocgc
     0.12%  frontend         frontend                 [.] runtime.lock2
     0.12%  search           search                   [.] time.parse
     0.12%  wrk              [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.11%  frontend         frontend                 [.] indexbytebody
     0.11%  wrk              libc-2.31.so             [.] __vfprintf_internal
     0.11%  dockerd          [kernel.kallsyms]        [k] update_load_avg
     0.11%  search           search                   [.] runtime.mapaccess1_faststr
     0.11%  frontend         frontend                 [.] time.parse
     0.11%  swapper          [kernel.kallsyms]        [k] pick_next_entity
     0.11%  swapper          [kernel.kallsyms]        [k] cpuidle_enter_state
     0.11%  dockerd          dockerd                  [.] runtime.findRunnable
     0.11%  recommendation   [kernel.kallsyms]        [k] psi_task_change
     0.11%  search           [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.11%  search           search                   [.] runtime.wbBufFlush1
     0.11%  search           search                   [.] runtime.casgstatus
     0.11%  frontend         frontend                 [.] runtime.unlock2
     0.11%  frontend         frontend                 [.] fmt.(*pp).printArg
     0.11%  frontend         frontend                 [.] time.nextStdChunk
     0.11%  docker-proxy     [kernel.kallsyms]        [k] update_load_avg
     0.11%  frontend         [kernel.kallsyms]        [k] __fget_light
     0.11%  search           search                   [.] runtime.mapiternext
     0.11%  swapper          [kernel.kallsyms]        [k] read_tsc
     0.10%  swapper          [kernel.kallsyms]        [k] __switch_to_asm
     0.10%  wrk              [kernel.kallsyms]        [k] __fget_light
     0.10%  swapper          [kernel.kallsyms]        [k] __switch_to
     0.10%  dockerd          [kernel.kallsyms]        [k] __fget_light
     0.10%  frontend         [vdso]                   [.] __vdso_clock_gettime
     0.10%  search           search                   [.] encoding/json.(*decodeState).object
     0.10%  recommendation   recommendation           [.] runtime.heapBitsSetType
     0.10%  search           search                   [.] fmt.(*pp).printArg
     0.10%  swapper          [kernel.kallsyms]        [k] native_write_msr
     0.10%  frontend         frontend                 [.] runtime.wbBufFlush1
     0.10%  frontend         [kernel.kallsyms]        [k] psi_task_change
     0.10%  search           search                   [.] runtime.mapaccess1
     0.10%  frontend         frontend                 [.] encoding/json.unquoteBytes
